C:\Users\tomge\PycharmProjects\bet538\venv\Scripts\python.exe C:/Users/tomge/PycharmProjects/bet538/main.py

Successfully got 35 sports Here's the first sport:
{'key': 'americanfootball_nfl', 'active': True, 'group': 'American Football', 'details': 'US Football', 'title': 'NFL', 'has_outrights': False}

Successfully got 19 events Here's the first event:

Remaining requests 363
Used requests 137
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'betclic', -100.0, 0, 0, 4.18]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'betclic', -100.0, 1, 0, 1.5]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'betclic', -100.0, 2, 0, 7.45]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'paddypower', -100.0, 0, 0, 3.8]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'paddypower', -100.0, 1, 0, 1.44]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'paddypower', -100.0, 2, 0, 7.5]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'onexbet', -100.0, 0, 0, 4.38]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'onexbet', -100.0, 1, 0, 1.5]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'onexbet', -100.0, 2, 0, 8.1]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'betvictor', -100.0, 0, 0, 4.1]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'betvictor', -100.0, 1, 0, 1.45]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'betvictor', -100.0, 2, 0, 8.5]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'betway', -100.0, 0, 0, 4.2]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'betway', -100.0, 1, 0, 1.45]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'betway', -100.0, 2, 0, 8.0]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'betfair', -100.0, 0, 0, 4.2]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'betfair', -100.0, 1, 0, 1.53]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'betfair', -100.0, 2, 0, 8.4]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'williamhill', -100.0, 0, 0, 4.2]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'williamhill', -100.0, 1, 0, 1.44]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'williamhill', -100.0, 2, 0, 8.0]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'marathonbet', -100.0, 0, 0, 4.35]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'marathonbet', -100.0, 1, 0, 1.49]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'marathonbet', -100.0, 2, 0, 8.1]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'sport888', -100.0, 0, 0, 4.2]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'sport888', -100.0, 1, 0, 1.47]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'sport888', -100.0, 2, 0, 8.0]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'unibet', -100.0, 0, 0, 4.2]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'unibet', -100.0, 1, 0, 1.47]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'unibet', -100.0, 2, 0, 8.0]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'ladbrokes', -100.0, 0, 0, 3.8]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'ladbrokes', -100.0, 1, 0, 1.5]
[('Wolverhampton Wanderers', 'West Bromwich Albion'), 'ladbrokes', -100.0, 2, 0, 7.75]
